Type,ID,Field1,Field2,Field3,Field4
Question,Q01,"Do you prefer working with tools, machines, or physical objects?",Stage1_RIASE,R,"This asks if you enjoy hands-on work building, fixing, or operating equipment. Realistic careers involve tangible results through physical action rather than abstract concepts or social interaction."
Question,Q02,"Do you prefer analyzing data, solving complex problems, or research?",Stage1_RIASE,I,"This asks if you're energized by intellectual challenges and systematic investigation. Investigative careers focus on understanding how things work through observation, experimentation, and logical analysis rather than implementation or people management."
Question,Q03,"Do you prefer creative expression, design, or artistic work?",Stage1_RIASE,A,"This asks if you're driven to create original work that reflects your unique vision. Artistic careers emphasize aesthetic judgment, imagination, and self-expression rather than standardized procedures or quantitative analysis."
Question,Q04,"Do you prefer helping, teaching, or caring for people directly?",Stage1_RIASE,S,"This asks if you find fulfillment in supporting others' growth and wellbeing. Social careers center on empathy, communication, and positive impact on individuals rather than systems, objects, or abstractions."
Question,Q05,"Do you prefer leading, managing, or persuading others?",Stage1_RIASE,E,"This asks if you're energized by influencing outcomes through people and resources. Enterprising careers involve strategic decision-making, risk-taking, and driving results rather than detailed execution or individual contribution."
Question,Q10,"Do you prefer working in extreme weather/temperature conditions?",Stage2_Differentiator,,"Assess your tolerance for heat, cold, or other harsh physical environments. Extreme conditions require physical resilience and specific health considerations that not everyone possesses or desires."
Question,Q11,"Do you prefer working in urban areas rather than rural?",Stage2_Differentiator,,"Think about whether you value density, diversity, and cultural amenities versus space, quiet, and community. Urban and rural settings offer fundamentally different lifestyles beyond just your job."
Question,Q12,"Do you prefer having a private workspace rather than open/shared?",Stage2_Differentiator,,"Consider whether you need solitude to concentrate or enjoy the energy of shared spaces. Private offices support deep work and confidential conversations; open areas encourage collaboration."
Question,Q13,"Do you prefer working at a single location rather than multiple sites?",Stage2_Differentiator,,"Reflect on whether you value developing deep familiarity with one place versus experiencing variety across locations. Single locations build community; multiple sites offer diversity but complicate logistics."
Question,Q14,"Do you prefer physically active work over sedentary work?",Stage2_Differentiator,,"Consider whether you feel energized or drained by movement throughout your workday. Active work maintains fitness naturally but can exhaust; sedentary work preserves energy but requires separate exercise."
Question,Q15,"Do you prefer standing most of the day rather than sitting?",Stage2_Differentiator,,"Think about your body's comfort standing for extended periods versus sitting. Standing work engages muscles but stresses joints; sitting provides rest but can cause back problems over time."
Question,Q17,"Are you comfortable with regular heavy lifting?",Stage2_Differentiator,,"Consider your current strength and willingness to maintain it through physical labor. Heavy lifting provides exercise but risks injury and becomes harder with age or health changes."
Question,Q19,"Are you comfortable with exposure to chemicals, heights, or other hazards?",Stage2_Differentiator,,"Think about whether specific hazards align with your health concerns and family planning. Hazardous exposure may have long-term health effects requiring protective equipment and medical monitoring."
Question,Q20,"Do you prefer work requiring sustained physical endurance?",Stage2_Differentiator,,"Consider whether you enjoy pushing your cardiovascular limits or prefer conserving energy for after-work activities. Stamina-intensive work builds fitness but leaves less energy for hobbies and family."
Question,Q21,"Do you prefer work requiring exceptional visual acuity?",Stage2_Differentiator,,"Assess whether your eyesight is strong and whether you're comfortable with work demanding precise visual discrimination. Visual acuity naturally declines with age, limiting career longevity in vision-intensive roles."
Question,Q22,"Are you comfortable with highly repetitive physical motions?",Stage2_Differentiator,,"Reflect on whether you find rhythm in repetition or frustration in monotony. Repetitive work risks overuse injuries but allows mental relaxation; varied work engages attention but demands constant adjustment."
